,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
3747,4.29,1.0,1.0,Rental,48,Logan Square,41.9189,-87.6964,Private room,95,3.46,<$100
3748,4.51,1.0,1.0,Rental,42,Logan Square,41.9172,-87.69429,Private room,85,3.12,<$100
3749,4.04,1.0,1.0,Rental,42,Logan Square,41.91883,-87.69642,Private room,57,2.11,<$100
3750,4.66,1.0,1.0,Rental,44,Logan Square,41.91683,-87.69444,Private room,70,2.78,<$100
3751,4.97,3.0,1.0,Rental,214,Albany Park,41.96126,-87.71398,Entire home/apt,29,1.07,$100 - $300
3752,4.95,2.0,1.0,Rental,211,Edgewater,41.98517,-87.66657,Entire home/apt,60,2.21,$100 - $300
3753,4.86,2.0,5.0,Guest,86,Woodlawn,41.7788,-87.59983,Entire home/apt,56,2.05,<$100
3754,4.87,1.0,1.0,Rental,88,East Garfield Park,41.88309,-87.69359,Entire home/apt,63,4.14,<$100
3755,4.81,2.0,1.0,Rental,129,Lincoln Square,41.96689084769485,-87.68665614078766,Entire home/apt,93,3.85,$100 - $300
3756,4.93,3.0,1.0,Home,259,Lincoln Park,41.91966,-87.6522,Entire home/apt,41,1.5,$100 - $300
3757,5.0,5.0,4.0,Home,1383,West Town,41.89408,-87.66861,Entire home/apt,16,0.59,>$300
3758,4.83,1.0,1.0,Condo,82,Uptown,41.95846,-87.64781,Private room,89,3.25,<$100
3759,4.92,2.0,1.0,Condo,307,North Center,41.93865,-87.67745,Entire home/apt,13,0.49,>$300
3760,4.84,3.0,2.0,Rental,140,Lower West Side,41.84921,-87.67999,Entire home/apt,0,1.59,$100 - $300
3761,4.86,4.0,3.0,Home,414,Lake View,41.93845,-87.66596,Entire home/apt,105,3.83,>$300
3762,4.9,2.0,1.0,Rental,150,Lincoln Park,41.92717,-87.6401,Entire home/apt,118,4.45,$100 - $300
3763,4.64,2.0,2.0,Rental,175,Logan Square,41.91644,-87.68374,Entire home/apt,84,3.19,$100 - $300
3764,4.83,2.0,1.0,Rental,162,Albany Park,41.97044,-87.74564,Entire home/apt,65,2.58,$100 - $300
3765,4.92,1.0,1.0,Home,314,Lake View,41.94571,-87.66073,Entire home/apt,37,1.35,>$300
3766,4.7,5.0,5.0,Home,542,West Town,41.9033,-87.69185,Entire home/apt,60,2.35,>$300
3767,5.0,3.0,2.0,Rental,150,Austin,41.89048,-87.76446,Entire home/apt,5,0.41,$100 - $300
3768,4.78,1.0,2.0,Home,35,Mckinley Park,41.82742,-87.66921,Private room,60,2.21,<$100
3769,4.84,1.0,2.0,Home,35,Mckinley Park,41.82827,-87.669,Private room,79,2.91,<$100
3770,4.73,1.0,2.0,Home,34,Mckinley Park,41.82658,-87.66733,Private room,30,1.11,<$100
3771,4.71,1.0,1.0,Condo,197,Near South Side,41.85538,-87.62337,Entire home/apt,126,4.56,$100 - $300
3772,4.61,1.0,1.0,Condo,53,West Englewood,41.79202281167852,-87.67341687147352,Private room,18,0.74,<$100
3773,4.55,1.0,1.0,Condo,67,Uptown,41.96591,-87.66278,Entire home/apt,22,0.8,<$100
3774,4.84,1.0,1.0,Serviced,165,Loop,41.88348,-87.62965,Entire home/apt,0,1.59,$100 - $300
3775,4.84,2.0,2.0,Serviced,249,Loop,41.88614,-87.61909,Entire home/apt,2,0.13,$100 - $300
